day,month_cos,month_sin,tod_id,start_station_id,end_station_id,direction_id,hour,min,link_load,output
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,20,0,,2926.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,20,15,,2508.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,20,30,,2508.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,20,45,,1881.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,21,0,,1881.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,21,15,,1881.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,21,30,,2090.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,21,45,,1463.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,22,0,,1672.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,22,15,,1463.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,22,30,,1463.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,22,45,,1254.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,23,0,,1254.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,23,15,,1045.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,23,30,,836.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,23,45,,418.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,0,0,,627.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,0,15,,209.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,0,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,0,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,1,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,1,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,1,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,1,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,2,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,2,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,2,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,2,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,3,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,3,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,3,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,3,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,4,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,4,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,4,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,4,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,5,0,,4389.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,5,15,,6688.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,5,30,,12540.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,5,45,,19228.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,6,0,,22363.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,6,15,,33440.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,6,30,,43054.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,6,45,,53922.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,7,0,,63536.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,7,15,,84854.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,7,30,,81510.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,7,45,,92378.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,8,0,,81092.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,8,15,,78793.0
