date,quarterhour,from_station,to_station,direction,link_load
02/06/2019,1800,Northolt,Greenford,EB,70.49899539417113
02/06/2019,1815,Northolt,Greenford,EB,78.01888823621604
02/06/2019,1830,Northolt,Greenford,EB,78.01888823621604
02/06/2019,1845,Northolt,Greenford,EB,61.09912934161498
02/06/2019,1900,Northolt,Greenford,EB,61.09912934161498
02/06/2019,1915,Northolt,Greenford,EB,63.91908915738182
02/06/2019,1930,Northolt,Greenford,EB,56.3991963153369
02/06/2019,1945,Northolt,Greenford,EB,46.99933026278075
02/06/2019,2000,Northolt,Greenford,EB,46.99933026278075
02/06/2019,2015,Northolt,Greenford,EB,42.29939723650268
02/06/2019,2030,Northolt,Greenford,EB,38.53945081548022
02/06/2019,2045,Northolt,Greenford,EB,31.019557973435294
02/06/2019,2100,Northolt,Greenford,EB,32.89953118394653
02/06/2019,2115,Northolt,Greenford,EB,31.95954457869091
02/06/2019,2130,Northolt,Greenford,EB,28.19959815766845
02/06/2019,2145,Northolt,Greenford,EB,27.259611552412835
02/06/2019,2200,Northolt,Greenford,EB,27.259611552412835
02/06/2019,2215,Northolt,Greenford,EB,22.559678526134764
02/06/2019,2230,Northolt,Greenford,EB,18.7997321051123
02/06/2019,2245,Northolt,Greenford,EB,16.91975889460107
02/06/2019,2300,Northolt,Greenford,EB,12.219825868322996
02/06/2019,2315,Northolt,Greenford,EB,9.39986605255615
02/06/2019,2330,Northolt,Greenford,EB,5.639919631533691
02/06/2019,2345,Northolt,Greenford,EB,2.8199598157668455
02/06/2019,0000,Greenford,Perivale,EB,0.9630156930432424
02/06/2019,0015,Greenford,Perivale,EB,0.0
02/06/2019,0030,Greenford,Perivale,EB,0.0
02/06/2019,0045,Greenford,Perivale,EB,0.0
02/06/2019,0100,Greenford,Perivale,EB,0.0
02/06/2019,0115,Greenford,Perivale,EB,0.0
02/06/2019,0130,Greenford,Perivale,EB,0.0
02/06/2019,0145,Greenford,Perivale,EB,0.0
02/06/2019,0200,Greenford,Perivale,EB,0.0
02/06/2019,0215,Greenford,Perivale,EB,0.0
02/06/2019,0230,Greenford,Perivale,EB,0.0
02/06/2019,0245,Greenford,Perivale,EB,0.0
02/06/2019,0300,Greenford,Perivale,EB,0.0
02/06/2019,0315,Greenford,Perivale,EB,0.0
02/06/2019,0330,Greenford,Perivale,EB,0.0
02/06/2019,0345,Greenford,Perivale,EB,0.0
02/06/2019,0400,Greenford,Perivale,EB,0.0
02/06/2019,0415,Greenford,Perivale,EB,0.0
02/06/2019,0430,Greenford,Perivale,EB,0.0
02/06/2019,0445,Greenford,Perivale,EB,0.0
02/06/2019,0500,Greenford,Perivale,EB,0.0
02/06/2019,0515,Greenford,Perivale,EB,0.0
02/06/2019,0530,Greenford,Perivale,EB,0.0
02/06/2019,0545,Greenford,Perivale,EB,0.0
02/06/2019,0600,Greenford,Perivale,EB,0.0
02/06/2019,0615,Greenford,Perivale,EB,40.44665910781618
02/06/2019,0630,Greenford,Perivale,EB,66.44808281998372
02/06/2019,0645,Greenford,Perivale,EB,97.26458499736749
02/06/2019,0700,Greenford,Perivale,EB,120.3769616304053
