date,quarterhour,from_station,to_station,direction,link_load
02/04/2019,1315,Ruislip Gardens,South Ruislip,EB,28.00071217641946
02/04/2019,1330,Ruislip Gardens,South Ruislip,EB,29.86742632151409
02/04/2019,1345,Ruislip Gardens,South Ruislip,EB,23.333926813682883
02/04/2019,1400,Ruislip Gardens,South Ruislip,EB,25.200640958777512
02/04/2019,1415,Ruislip Gardens,South Ruislip,EB,25.200640958777512
02/04/2019,1430,Ruislip Gardens,South Ruislip,EB,31.734140466608718
02/04/2019,1445,Ruislip Gardens,South Ruislip,EB,28.00071217641946
02/04/2019,1500,Ruislip Gardens,South Ruislip,EB,32.66749753915603
02/04/2019,1515,Ruislip Gardens,South Ruislip,EB,35.46756875679798
02/04/2019,1530,Ruislip Gardens,South Ruislip,EB,42.00106826462918
02/04/2019,1545,Ruislip Gardens,South Ruislip,EB,39.20099704698724
02/04/2019,1600,Ruislip Gardens,South Ruislip,EB,40.13435411953455
02/04/2019,1615,Ruislip Gardens,South Ruislip,EB,43.867782409723816
02/04/2019,1630,Ruislip Gardens,South Ruislip,EB,48.53456777246039
02/04/2019,1645,Ruislip Gardens,South Ruislip,EB,46.667853627365766
02/04/2019,1700,Ruislip Gardens,South Ruislip,EB,48.53456777246039
02/04/2019,1715,Ruislip Gardens,South Ruislip,EB,53.20135313519697
02/04/2019,1730,Ruislip Gardens,South Ruislip,EB,50.401281917555025
02/04/2019,1745,Ruislip Gardens,South Ruislip,EB,42.9344253371765
02/04/2019,1800,Ruislip Gardens,South Ruislip,EB,42.00106826462918
02/04/2019,1815,Ruislip Gardens,South Ruislip,EB,40.13435411953455
02/04/2019,1830,Ruislip Gardens,South Ruislip,EB,35.46756875679798
02/04/2019,1845,Ruislip Gardens,South Ruislip,EB,28.93406924896677
02/04/2019,1900,Ruislip Gardens,South Ruislip,EB,28.93406924896677
02/04/2019,1915,Ruislip Gardens,South Ruislip,EB,22.400569741135563
02/04/2019,1930,Ruislip Gardens,South Ruislip,EB,18.667141450946303
02/04/2019,1945,Ruislip Gardens,South Ruislip,EB,13.066999015662415
02/04/2019,2000,Ruislip Gardens,South Ruislip,EB,13.066999015662415
02/04/2019,2015,Ruislip Gardens,South Ruislip,EB,11.200284870567781
02/04/2019,2030,Ruislip Gardens,South Ruislip,EB,11.200284870567781
02/04/2019,2045,Ruislip Gardens,South Ruislip,EB,8.400213652925837
02/04/2019,2100,Ruislip Gardens,South Ruislip,EB,8.400213652925837
02/04/2019,2115,Ruislip Gardens,South Ruislip,EB,8.400213652925837
02/04/2019,2130,Ruislip Gardens,South Ruislip,EB,9.333570725473152
02/04/2019,2145,Ruislip Gardens,South Ruislip,EB,6.533499507831207
02/04/2019,2200,Ruislip Gardens,South Ruislip,EB,7.466856580378522
02/04/2019,2215,Ruislip Gardens,South Ruislip,EB,6.533499507831207
02/04/2019,2230,Ruislip Gardens,South Ruislip,EB,6.533499507831207
02/04/2019,2245,Ruislip Gardens,South Ruislip,EB,5.600142435283891
02/04/2019,2300,Ruislip Gardens,South Ruislip,EB,5.600142435283891
02/04/2019,2315,Ruislip Gardens,South Ruislip,EB,4.666785362736576
02/04/2019,2330,Ruislip Gardens,South Ruislip,EB,3.733428290189261
02/04/2019,2345,Ruislip Gardens,South Ruislip,EB,1.8667141450946305
02/04/2019,0000,South Ruislip,Northolt,EB,2.925887354013376
02/04/2019,0015,South Ruislip,Northolt,EB,0.9752957846711252
02/04/2019,0030,South Ruislip,Northolt,EB,0.0
02/04/2019,0045,South Ruislip,Northolt,EB,0.0
02/04/2019,0100,South Ruislip,Northolt,EB,0.0
02/04/2019,0115,South Ruislip,Northolt,EB,0.0
02/04/2019,0130,South Ruislip,Northolt,EB,0.0
02/04/2019,0145,South Ruislip,Northolt,EB,0.0
02/04/2019,0200,South Ruislip,Northolt,EB,0.0
02/04/2019,0215,South Ruislip,Northolt,EB,0.0
